model,id,type,maxZ,maxP,maxT,maxGrad,time.maxP,tstar.maxP,time.maxT,tstar.maxT,cls,recovered,phi,zc,z1100,age,cv
cdk46,45,8,130090.84375,37168.8125,877.21209716796875,0.004644539767372896,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,46,8,130405.21875,37258.63392857143,847.26483154296875,0.004403695166862091,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,47,8,130783.28125,37366.65178571428,836.05926513671875,0.00430528474094787,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,48,8,130439.46875,37268.419642857145,851.45648193359375,0.004434673703265859,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,49,8,131160.25,37474.35714285714,823.25775146484375,0.004195308803275716,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,50,8,130668.9375,37333.982142857145,848.34033203125,0.004403038266315206,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,51,8,131300.953125,37514.55803571429,823.03045654296875,0.004189081978859159,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,52,8,130485.203125,37281.486607142855,857.3704833984375,0.0044784425314388495,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,53,8,131110.953125,37460.27232142857,832.781494140625,0.0042695250152512765,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,54,8,130936.1875,37410.33928571428,846.343994140625,0.004378804706992289,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,55,8,131569.296875,37591.22767857143,823.4931640625,0.004184054921153123,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,56,8,131330.03125,37522.86607142857,814.15777587890625,0.004120594282420886,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,57,8,131734.40625,37638.40178571429,805.7252197265625,0.004043933812671377,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,58,8,131716.953125,37633.41517857143,808.48779296875,0.004065443211858762,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,59,8,131911.359375,37688.95982142857,805.34564208984375,0.004035631537815344,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,60,8,131815.453125,37661.55803571429,812.25244140625,0.0040909652747229824,11990709.469167603,1,11990709.469167603,1,5,FALSE,68,58,46,85,80
cdk46,61,7,25637.609375,7325.03125,402.6867980957031,0.0050584590863672575,11990709.469167603,1,11990709.469167603,1,14,TRUE,68,58,46,85,80
cdk46,62,3,16624.19140625,4749.768973214285,376.259521484375,0.006211401141925841,10561684.085678816,0.8808222826878325,11648634.739156406,0.9714716855669973,14,TRUE,68,58,46,85,80
cdk46,62,7,6612.759765625,1889.3599330357144,278.62225341796875,8.50212863802314e-4,5415871.083479934,0.45167227989353537,5415871.083479934,0.45167227989353537,14,TRUE,68,58,46,85,80
cdk46,63,7,52096.0390625,14884.582589285714,614.38934326171875,0.0065530767675475565,11990709.469167603,1,11990709.469167603,1,13,TRUE,68,58,46,85,80
cdk46,64,7,22932.328125,6552.093750000001,415.385498046875,0.006208942121827197,9042406.759819083,0.7541177428300085,11990709.469167603,1,14,TRUE,68,58,46,85,80
cdk46,65,7,26476.30859375,7564.659598214286,414.6574401855469,0.00535034707289167,11990709.469167603,1,11990709.469167603,1,13,TRUE,68,58,46,85,80
cdk46,66,7,50480.8203125,14423.091517857143,623.494384765625,0.0069431198343430246,11990709.469167603,1,11990709.469167603,1,13,TRUE,68,58,46,85,80
cdk46,67,7,47845.078125,13670.022321428572,636.607421875,0.007599682895804656,11990709.469167603,1,11277802.198971603,0.9405450301311078,2,TRUE,68,58,46,85,80
cdk46,68,7,101815.84375,29090.241071428572,984.844970703125,0.006991495080578999,11990709.469167603,1,11990709.469167603,1,7,FALSE,68,58,46,85,80
cdk46,69,7,104120.4609375,29748.703125,961.580810546875,0.006613309279913838,11990709.469167603,1,11990709.469167603,1,7,FALSE,68,58,46,85,80
cdk46,70,7,52248.9921875,14928.283482142857,655.672607421875,0.007324018921716642,11990709.469167603,1,10561684.085678816,0.8808222826878325,13,TRUE,68,58,46,85,80
cdk46,71,7,113881.21875,32537.491071428572,1003.10546875,0.006411113937520975,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,72,7,49973.4140625,14278.118303571428,626.51177978515625,0.007073996972530863,11990709.469167603,1,11990709.469167603,1,13,TRUE,68,58,46,85,80
cdk46,73,7,112609.921875,32174.263392857145,950.5037841796875,0.0060163773573321064,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,74,7,86973.109375,24849.459821428572,921.396484375,0.007455137444601681,11990709.469167603,1,11990709.469167603,1,7,FALSE,68,58,46,85,80
cdk46,75,7,118333.34375,33809.52678571428,991.52313232421875,0.0060720259358361854,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,76,7,127300.5625,36371.58928571428,974.3531494140625,0.005509426947065237,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,77,8,128338.640625,36668.18303571429,959.2894287109375,0.005347488685938678,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,78,7,127110.421875,36317.263392857145,975.178955078125,0.0055241650898511345,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,79,8,128688.625,36768.17857142857,950.6409912109375,0.0052657411734015926,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,80,7,125124.84375,35749.955357142855,983.29949951171875,0.005676726365636071,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
cdk46,81,8,128848.765625,36813.93303571429,948.93072509765625,0.00524592317061754,11990709.469167603,1,11990709.469167603,1,3,FALSE,68,58,46,85,80
