model,id,type,maxZ,maxP,maxT,maxGrad,time.maxP,tstar.maxP,time.maxT,tstar.maxT,cls,recovered,phi,zc,z1100,age,cv
cdp46,82,7,129933.109375,37123.74553571428,988.43975830078125,0.005506215942512007,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,83,8,132430.828125,37837.37946428572,964.36151123046875,0.00522054812326553,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,84,7,131644.71875,37612.77678571429,983.3929443359375,0.005396288974455632,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,85,8,132327.5,37807.85714285714,969.213134765625,0.005261288354768472,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,86,8,132863.203125,37960.915178571435,933.7623291015625,0.0049732530419269345,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,87,8,133289.296875,38082.65625,914.35052490234375,0.004811718119451171,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,88,8,133152.390625,38043.540178571435,924.8758544921875,0.0048957127351027425,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,89,8,133560.625,38160.17857142857,904.19549560546875,0.0047259100173083855,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,90,8,132952.84375,37986.52678571429,938.48248291015625,0.0050054023978720365,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,91,8,133753.296875,38215.22767857143,896.5780029296875,0.004662150522633145,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,92,8,133128.859375,38036.81696428571,933.9361572265625,0.004964634718042799,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,93,8,133562.6875,38160.76785714286,910.59942626953125,0.004773784042564517,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,94,8,133414.90625,38118.544642857145,923.7181396484375,0.0048774020680199485,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,95,8,133910.703125,38260.200892857145,899.21136474609375,0.004676335424522055,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,96,8,134121.421875,38320.40625000001,873.7728271484375,0.004479320445233219,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,97,8,134231.65625,38351.90178571428,867.30218505859375,0.004427436877868321,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,98,8,133812,38232.00000000001,892.27020263671875,0.0046279123145660985,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,99,8,134512.203125,38432.05803571429,858.71881103515625,0.0043543916271362925,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,100,8,134120.71875,38320.20535714286,880.5732421875,0.0045300476156857755,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,101,8,134314.890625,38375.68303571429,872.10076904296875,0.004460419587546894,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,102,8,134070.515625,38305.86160714286,884.92132568359375,0.004564175223993018,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,103,8,134882.765625,38537.93303571428,851.04046630859375,0.0042855027744289976,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,104,8,134276.453125,38364.70089285714,878.75714111328125,0.004511268558377638,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,105,8,134836.875,38524.82142857143,855.48712158203125,0.004319939345835709,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,106,8,134889.53125,38539.86607142857,837.74896240234375,0.004186751611996159,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
cdp46,107,8,135502.828125,38715.09375,814.5657958984375,0.0039967121232248265,10297526.014567832,1,10297526.014567832,1,1,FALSE,110,64,46,110,100
