model,phi,zc,z1100,age,cv,tcut,n,est.rec,sd.rec,est.lost,sd.lost,est.ratio,sd.ratio,est.chaos,sd.chaos,est.transformed,sd.transformed,est.Tanomaly,sd.Tanomaly,est.Panomaly,sd.Panomaly,est.subducted,sd.subducted,est.med.maxP,sd.med.maxP,est.iqr.maxP,sd.iqr.maxP,est.max.maxP,sd.max.maxP,est.med.maxT,sd.med.maxT,est.iqr.maxT,sd.iqr.maxT,est.max.maxT,sd.max.maxZ,est.med.maxZ,sd.med.maxZ,est.iqr.maxZ,sd.iqr.maxZ,est.max.maxZ
cde62,22,87,62,55,40,62,18770,1788.1,12.56618840019084,15104.9,12.56618840019085,0.10584857633339254,7.438695554484603e-4,3.59,0.7260659179246178,2911.71,13.601318266471768,11.78,1.0785324859420429,16.21,6.730444925031995,12164.46,19.605925717300963,15016.761015130125,189.176523049876,8832.99384443855,33.90422467364154,28121.310875457562,707.7765927432039,626.5197097778321,0.6647057441576838,136.06655181884764,1.432192991401154,988.5143487548828,2236.367021040812,51510.924375,563.5640830482394,26294.858212890624,95.5895147686591,92119.04859375
cdf62,36.3,82,62,55,66,39,18836,1519,12.003366531136509,15433,12.003366531136509,0.08960594620103822,7.080796679528374e-4,125,3.44069525508782,1686.49,13.04885536216209,26.16,1.6920491432078157,60.45,11.410056701848326,13547.58,21.525263522126025,10622.122512848864,5.768262940764626,1291.8226675499434,17.06946971350733,26267.054850107863,2.9438302259140263,582.7489520263672,0.7715781092504891,80.24719833374023,0.5163563207150756,985.6559655761719,9.09117911826715,39284.66896484375,30.33665368932348,3570.451455078125,34.337393228084245,86352.776875
cdg62,44,75,62,55,80,39,18843,1218.68,11.17074100252327,15739.32,11.170741002523267,0.07186460667531548,6.587298621608251e-4,37.15,1.9351871989421323,1916.09,12.287050751161406,48.75,1.9662557351884866,182.35,20.01836278232684,13597.45,25.487717382569524,8517.685822621215,6.072145886215078,1375.4793864996639,18.970764207847655,19572.77197269697,474.4432903208801,556.8697875976562,0.47353377064919056,59.634806365966796,1.0232161349216728,707.085849609375,1403.9549110360508,35110.291640625,24.408757231148186,3045.157109375,34.79187046082846,65568.934765625
cdh62,55,70,62,55,100,32,18852,1104.72,10.05849558002256,15861.28,10.058495580022557,0.06511375692561594,5.928619344584786e-4,348.12,5.326283219027403,1617.33,11.44954235775474,43.94,1.9736650007925707,149.75,10.188501143718616,13745.19,17.441211499946295,8093.146213109899,7.0667710351864175,724.0047535169218,7.3316147881320815,22194.327496169295,530.1263905580803,567.2543850708008,0.7026152890270051,82.56352813720703,0.9349492892366755,871.1980493164062,1653.2994503704726,34787.6973828125,9.811720907194697,1672.902734375,23.811377328124124,73839.505859375
cdi62,34,91,62,85,40,68,18775,1833.29,12.994400503464732,15063.71,12.994400503464723,0.10849795821743505,7.690359533328248e-4,68.29,2.76812666843937,2228.99,14.343192521791364,4.5,0.6276459144608478,78.12,6.037391904630754,12689.18,18.534368839613297,17427.31396330816,42.316460475015106,14348.990966221194,27.266444396138773,27134.33841034842,101.39604016375185,632.6292117309571,2.9939534093713207,256.5503845214844,3.1441883176799554,958.3140661621094,312.2919203957207,59551.680703125,156.89621110442081,39450.003798828126,71.52648884482069,89190.582109375
cdj62,56.1,77,62,85,66,50,18839,1231.2,9.871906880362353,15723.8,9.871906880362342,0.07261574756708936,5.822416325781388e-4,54.92,2.5768197453450252,1835.5,13.348097885905586,52.74,2.627054270740165,148.42,3.962399028443002,13684.96,15.736414695690604,9080.820180761984,5.596233729550388,758.1253618173558,14.446159484843664,26558.70609271955,419.6586043855759,540.0626586914062,0.2206649713621611,48.99449661254883,0.8752259619633659,975.0339385986329,1263.1216300092678,38004.75392578125,15.671320460731184,2665.962919921875,41.7284734638232,87644.653125
cdk62,68,72,62,85,80,32,18850,935.68,10.2571778267561,16029.32,10.257177826756097,0.0551535514294135,6.04608183127386e-4,6470.88,19.377316739951475,1274.89,10.704379354905983,25.47,1.5792531158875087,184.18,5.383063601460952,8099.37,19.522406189666874,9604.211289890323,6.869108608280954,730.3124547912649,7.329219683964676,29510.989333469992,120.10381558609352,566.1265469360352,0.4400256613992098,75.71737258911133,1.3807563645194452,998.8718688964843,347.23150672720544,36919.56517578125,20.96589869770507,2699.675224609375,86.54732899801762,96922.909296875
cdl62,85,67,62,85,100,25,18866,686.7,8.5392735006669,16292.3,8.539273500666893,0.04044407797867954,5.029314742132577e-4,11584.11,18.502467757877948,813.22,8.425046833188176,56,2.3441308613107537,280.13,5.923169708352058,3613.94,17.527940177576106,10472.094646918627,15.043067894349223,792.4951498997066,12.928249216384689,31977.26122982239,539.4194787301507,603.5872311401367,0.642635146854829,67.44404357910156,1.6883347903709494,1010.9681719970703,1680.9477808012566,35931.46345703125,11.864203801821262,2046.739326171875,33.10876823323804,104864.041953125
cdm62,44,88,62,110,40,79,18829,0,0,16946,0,0,0,0,0,3755.82,17.32306222492099,5.5,0.6435381994422819,206.73,7.78998969151689,12983.45,19.005249142000064,NA,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,-Inf
cdn62,72.6,77,62,110,66,43,18889,752.1,8.913161304747295,16247.9,8.913161304747296,0.044241176470588235,5.243036061616052e-4,3036.45,16.427603648011527,1056.77,9.0529921388824,47.5,2.15322168769582,466.95,16.216574013251773,11692.3,21.551676210326352,11201.77105210292,17.720391165989177,1282.9605677128754,12.96600629105646,27118.75529589993,74.11776246487945,633.0294052124024,0.45267391099575255,51.17624694824219,0.7013693733573514,985.7408660888672,234.45983529000657,39838.43251953125,15.163926751047978,1915.89736328125,34.282458472180096,90099.010234375
cdo62,88,74,62,110,80,31,18908,466.36,6.802435689746089,16550.64,6.802435689746079,0.02740553564082976,3.9974353233508154e-4,10165.46,18.407519324362188,937.29,8.097006554987788,74.5,2.5839442092985823,684,8.6655010871218,4766.62,16.94958656865957,25776.071809683606,15.777290256741747,14002.26765193687,43.36694707184906,31240.29593002317,79.5985380383109,875.5745980834961,1.582255922933915,267.0117936706543,15.020890358417061,1008.1553857421875,233.90387228554044,85983.081484375,55.040390339083984,46486.396171875,404.7383985403764,102703.8634375
cdp62,110,75,62,110,100,27,18908,525.75,6.991156029317514,16491.25,6.991156029317514,0.03089557501322207,4.1083363867412047e-4,11689.67,20.822023596823303,974.94,10.687309570634968,81.02,3.2160581933525867,780.02,9.380809984196242,3049.76,15.01387910090413,24732.807278797416,44.58465855108827,13947.974533066938,35.05264503883557,29889.777481335208,168.88994185682796,848.503140258789,1.3457557410408967,313.0504846191406,3.4666493922016635,999.4721978759766,529.9876727852738,82680.114453125,129.79668536237313,47385.93846679688,75.18450803788559,98639.794609375
cda78,13,87,78,32.6,40,61,19228,1871.79,12.732123534468611,15433.21,12.732123534468617,0.10816469228546663,7.357482539421329e-4,73.97,2.599358895317587,1450.69,11.21479452159584,7.19,0.8127146181194542,19.47,2.23586468935195,13891.84,17.301672716471067,14913.986373339492,62.58113669740143,13340.069839127573,148.42782087069767,40077.75981796344,12.911092028294965,656.5627655029297,0.9248018293055918,236.91108627319335,1.428512001566639,1047.552528076172,56.79215717361755,50465.7720703125,203.38006730831515,42475.03041992187,393.91421694746447,129573.79171875
cdb78,21.5,94,78,32.6,66,42,19326,1791.16,12.185203811147025,15601.84,12.185203811147037,0.1029816592882194,7.005809125019847e-4,71.64,2.5247062035297123,1024.89,9.983719069797916,13.58,1.1297626460295263,62.55,3.9781600741746908,14457.17,15.395824568415112,9852.949642145302,24.559278250556428,3915.500879991085,47.767383853102956,31577.8410752558,160.80262467031898,593.9952990722657,0.4221231544926416,87.90490524291992,0.5838998413470221,910.1001159667969,493.59724708287695,34608.23029296875,134.62017289374745,11588.94275390625,134.39016057922944,103090.98140625
cdc78,26.1,97,78,32.6,80,44,19324,1746.71,10.615687838422357,15644.29,10.615687838422357,0.1004375826576965,6.104127329321117e-4,26.98,1.6079348697800377,407.63,6.44895262030897,6.39,0.7232781713361143,37.41,6.5722019433245045,15172.36,13.367018056289576,10299.961006692833,17.939541496038775,2833.201617683673,12.36017955080121,32123.45599903265,63.95136768057585,594.9000082397461,0.26007237847384784,57.00354537963867,0.4657123516791389,896.7757116699219,220.5258538451943,36266.321328125,55.22138530188722,9087.57203125,33.75562491593621,104914.207890625
cdd78,32.6,97,78,32.6,100,37,19338,1804.69,12.740371686378337,15599.31,12.740371686378312,0.10369397839577109,7.320369849677279e-4,59.28,2.3141200304114533,279.47,5.409410057641879,7.28,0.7531750973530176,95.24,10.065562853390542,15164.41,18.35018234021645,9723.760250425777,10.276263871465396,1280.2536163481614,17.81760514199396,32029.729061499507,478.53932284519016,586.1326397705078,0.22310426323198107,44.70017379760742,0.5000949879922774,887.9012322998046,1501.621517451861,34588.1099609375,20.793656226945384,3938.026123046875,50.88179544441706,104725.94953125
cde78,22,90,78,55,40,66,18942,1881.35,11.618841368547667,15165.65,11.618841368547661,0.11036252713087347,6.815768973161064e-4,6.23,0.8022065529122498,1907.4,13.746624930130922,3.7,0.5025189076296062,25.52,24.685283719723227,13222.06,28.443749202361985,14760.173015776058,50.48696513525676,8918.381334728356,36.53908469870043,29728.71377120708,260.6973392168486,635.2348449707031,0.8891813032883512,119.2234033203125,1.2843820556301633,960.0220092773437,812.8332883975496,50875.488984375,154.6770113685182,26804.484970703124,78.94688761185441,97299.952734375
