T,P,grad,reference
680,1.8,10.793650793650794,"Elvevold and Gilotti, 2000"
690,1.8,10.952380952380953,"Faryad and Hoinkes, 2003"
700,1.8,11.11111111111111,"Hoinkes et al., 1999"
730,1.8,11.587301587301589,"Abbott and Draper, 2007"
750,1.8,11.904761904761903,Brueckner et al. 1998
550,1.85,8.494208494208495,"Federico et al., 2004"
580,1.85,8.957528957528957,"Escuder-Viruete and Perez-Estaun, 2013"
490,1.9,7.368421052631579,"Le Bayon et al., 2006b"
500,1.9,7.518796992481203,"Agard et al., 2001"
520,1.9,7.819548872180451,"Gasco et al., 2011a, b"
520,1.9,7.819548872180451,Will et al. 1998
525,1.9,7.894736842105263,Vitale Brovarone and Agard 2013
530,1.9,7.969924812030075,Feenstra et al. 2007
545,1.9,8.19548872180451,John et al. 2008
580,1.9,8.721804511278195,Schwartz et al. 2000
580,1.9,8.721804511278195,"Zulbati, 2011"
600,1.9,9.022556390977444,Carson et al. 1999
600,1.9,9.022556390977444,"Zhang et al., 1997"
640,1.9,9.62406015037594,Sisson et al. 1997
665,1.9,10,"Boundy et al., 2002"
825,1.9,12.406015037593985,"Zhimulev et al., 2010"
490,1.92,7.291666666666666,Liu et al. 2011
495,1.95,7.252747252747253,Ashley et al. 2014
530,1.95,7.765567765567765,Trotet et al. 2001
570,1.95,8.351648351648352,Stanek et al. 2006
575,1.95,8.424908424908425,"Tsujimori and Matsumoto, 2006"
600,1.95,8.791208791208792,Matsumoto et al. 2003
670,1.95,9.8168498168498175,Ota et al. 2004
700,1.95,10.256410256410255,"Jamtveit et al., 1990"
730,1.95,10.695970695970695,"Elvevold et al., 2014"
400,2,5.714285714285714,"Cliff et al., 1998"
475,2,6.785714285714286,Groppo et al. 2009
540,2,7.714285714285714,Schmadicke and Will 2003
545,2,7.785714285714286,Castelli et al. 2002
550,2,7.857142857142857,Page et al. 2007
575,2,8.214285714285714,"Gabriele et al., 2003"
580,2,8.285714285714286,Trotet et al. 2001
585,2,8.357142857142858,"Hoschek et al., 2010"
600,2,8.571428571428571,Garcia-Casco et al. 2002
625,2,8.928571428571429,"Selverstone et al., 1992"
625,2,8.928571428571429,"Sengun et al., 2012"
680,2,9.714285714285714,"Thoni and Miller, 1996"
730,2,10.428571428571429,"Kylander-Clark et al., 2007"
540,2.05,7.526132404181185,"Hoschek et al., 2010"
575,2.05,8.013937282229966,"Cuthbert et al., 2000"
510,2.08,7.0054945054945055,"Hoschek et al., 2010"
610,2.08,8.37912087912088,"Hoschek, 2001"
450,2.1,6.122448979591836,Tsujimori et al. 2005
520,2.1,7.074829931972789,"Parkinson et al., 1998"
570,2.1,7.755102040816326,Klemd et al. 2011
645,2.1,8.775510204081632,"Konzett et al., 2012"
650,2.1,8.843537414965986,van der Straaten et al. 2008
690,2.1,9.387755102040815,"Krebs et al., 2011"
690,2.1,9.387755102040815,"Krebs et al., 2011"
422,2.15,5.607973421926911,"Whitney and Davis, 2006"
575,2.15,7.641196013289036,"Messiga et al., 1995"
590,2.15,7.840531561461794,"Kurz et al., 1998"
600,2.15,7.973421926910299,"Footoohi Rad et al., 2005"
635,2.15,8.438538205980066,"Hoschek, 2004"
650,2.15,8.637873754152825,"Trommsdorf, 2000"
585,2.17,7.702435813034891,"Mposkos et al., 2012"
530,2.2,6.883116883116883,"Vitale Brovarone et al., 2011"
560,2.2,7.272727272727272,Dragovic et al. 2012
560,2.2,7.272727272727272,Thomas et al. 2010
575,2.2,7.467532467532467,"Orozbaev et al., 2010"
580,2.2,7.532467532467533,"Krebs et al., 2011"
640,2.2,8.311688311688311,"Miller et al., 2007"
750,2.2,9.74025974025974,Brueckner et al. 1998
750,2.2,9.74025974025974,"Dale and Holland, 2003"
815,2.2,10.584415584415584,"Kylander-Clark et al., 2007"
755,2.24,9.630102040816324,"Wain, 1997"
552.5,2.245,7.031498568246898,Li et al. 2012
377.5,2.25,4.7936507936507935,"Ravna et al., 2010"
400,2.25,5.079365079365079,"Harlow et al., 2011"
555,2.25,7.0476190476190474,"Whitney and Davis, 2006"
585,2.25,7.428571428571429,"Escuder-Viruete and Perez-Estaun, 2013"
585,2.25,7.428571428571429,"Davoudian et al., 2008"
620,2.25,7.873015873015873,"Cuthbert et al., 2000"
695,2.25,8.825396825396826,"Krebs et al., 2011"
705,2.25,8.952380952380953,Martens et al. 2012
480,2.3,5.962732919254658,"Plunder et al., 2012"
540,2.3,6.708074534161491,"Angiboust et al., 2009"
545,2.3,6.770186335403727,Vitale Brovarone and Agard 2013
560,2.3,6.956521739130435,de Sigoyer et al. 2004
615,2.3,7.639751552795032,Escuder-Viruete et al. 2011
635,2.3,7.888198757763975,"Engvik et al., 2007"
700,2.3,8.695652173913043,"Nussbaum et al., 1998"
750,2.3,9.316770186335404,"Krebs et al., 2008"
750,2.3,9.316770186335404,"Toth et al., 2000"
765,2.3,9.503105590062113,"Rehman et al., 2013"
508,2.34,6.202686202686204,Shi et al 2014
585,2.35,7.112462006079028,"Hoschek et al., 2010"
660,2.35,8.024316109422493,"Krebs et al., 2011"
600,2.39,7.172743574417214,"Clarke et al., 1997"
430,2.4,5.119047619047619,"Okay, 2002"
460,2.4,5.476190476190476,"Cetinkaplan et al., 2008"
500,2.4,5.9523809523809526,"Song et al., 2009"
505,2.4,6.011904761904762,"Le Bayon et al., 2006"
550,2.4,6.5476190476190474,"Gabudianu Radulescu et al. , 2009"
600,2.4,7.142857142857143,"Zhou et al., 2014"
650,2.4,7.738095238095238,"Meyre et al., 1999"
650,2.4,7.738095238095238,"Miller et al., 2005"
700,2.4,8.333333333333334,"Dobrzhinetskaya et al., 2002"
450,2.5,5.142857142857143,"Ghent et al., 2009"
520,2.5,5.942857142857143,Endo et al. 2012
595,2.5,6.8,"Stockhert et al., 1997"
620,2.5,7.085714285714285,Tsujimori et al. 2006
650,2.5,7.428571428571429,"Cuthbert et al., 2000"
675,2.5,7.714285714285714,"Kylander-Clark et al., 2007"
750,2.5,8.571428571428571,"Dale and Holland, 2003"
750,2.5,8.571428571428571,Lanari etal. 2013
780,2.5,8.914285714285715,"Krebs et al., 2011"
550,2.55,6.162464985994398,"Groppo and Castelli, 2010"
560,2.55,6.2745098039215685,"Gasco et al., 2011"
620,2.55,6.946778711484594,"Smit et al., 2008"
805,2.55,9.019607843137257,"Krebs et al., 2011"
500,2.6,5.4945054945054945,Tian and Wei 2014
500,2.6,5.4945054945054945,"Davis and Whitney, 2006"
675,2.6,7.417582417582418,"Ota et al., 2000"
555,2.62,6.052344601962923,"Smye et al., 2011"
550,2.65,5.929919137466308,Angiboust et al. 2011
637.5,2.65,6.873315363881401,St-Onge et al. 2013
675,2.7,7.142857142857143,"Cuthbert et al., 2000"
775,2.7,8.201058201058201,"Ota et al., 2000"
575,2.75,5.974025974025974,"Bucher et al., 2005"
775,2.75,8.051948051948052,"Scambelluri et al., 2014"
615,2.8,6.275510204081633,"Reinecke, 1998"
650,2.8,6.63265306122449,"Young et al., 2007"
720,2.8,7.346938775510204,"O'Brien et al., 2001"
830,2.85,8.320802005012531,"Walsh and Hacker, 2004"
770,2.86,7.6923076923076925,"Rehman et al., 2007"
815,2.88,8.08531746031746,"Wain, 1997"
700,2.9,6.896551724137931,"Ota et al., 2000"
725,2.9,7.142857142857143,"Masago, 2000"
735,2.95,7.11864406779661,"Kaneko eet al., 2003"
700,3,6.666666666666667,"Hattori et al., 2010"
740,3,7.0476190476190474,Carswell et al. 1997
750,3,7.142857142857143,"Cuthbert et al., 2000"
760,3,7.238095238095238,"Butler et al., 2013"
800,3,7.619047619047619,"Janak et al., 2013"
800,3,7.619047619047619,"Scambelluri et al., 2014"
800,3,7.619047619047619,"Trommsdorff et al., 2000)"
604,3.06,5.639589169000933,Shi et al 2014
740,3.25,6.5054945054945055,Carswell et al. 1997
710,3.3,6.147186147186147,"Young et al., 2007"
710,3.3,6.147186147186147,Yang et al. 2014
715,3.3,6.190476190476191,Wilke et al. 2010
820,3.3,7.0995670995671,"Terry et al., 2000"
760,3.35,6.481876332622601,"Janak et al., 2012"
735,3.36,6.25,"Ravna et al., 2006"
800,3.4,6.722689075630252,"Vriemojd et al., 2006"
770,3.5,6.285714285714286,"Janak et al., 2013"
825,3.5,6.73469387755102,"Kylander-Clark et al., 2007"
850,3.5,6.938775510204081,Carswell et al. 1997
730,3.6,5.7936507936507935,Nowlan et al. 2000
760,3.6,6.031746031746032,"Rubatto and Hermann, 2001"
875,3.6,6.944444444444445,"Kylander-Clark et al., 2007"
970,3.6,7.698412698412699,"Gilotti and Ravna, 2002"
970,3.6,7.698412698412699,"Lang and Gilotti, 2007"
820,3.65,6.418786692759295,"Terry et al., 2000"
775,3.7,5.984555984555985,"Zhang et al., 1997"
785,3.7,6.061776061776062,"Masago, 2000"
800,3.7,6.177606177606178,"Schertl et al., 1991"
732,3.77,5.547555892383479,"Groppo et al., 2007"
867,3.85,6.434137291280148,"Carswell et al., 2006"
735,3.88,5.412371134020619,Shi et al 2014
1000,4,7.142857142857143,"Liang et al., 2004"
720,4.3,4.78405315614618,"Hermann, 2003"
867,4.5,5.504761904761905,"Carswell et al., 2006"
1100,7,4.489795918367347,"Dobrzhinetskaya et al., 2002"
